gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc
010499,TEXAS INSTRUMENTS INC,TXN,14,882508104,USA,3674,A,2005,12,2005-12-31,15063.0,3126.0,13392.0,4343.0,3899.0,1558.0,5335.0,173.0,2324.0,360.0,301.0
010502,TEXAS NEW MEXICO POWER CO,PNM2,0,882587009,USA,4911,A,2000,12,2000-12-31,998.497,675.52,644.035,145.187,911.988,41.353,2.613,31.5,41.957,426.327,0.0
010502,TEXAS NEW MEXICO POWER CO,PNM2,0,882587009,USA,4911,A,2001,12,2001-12-31,940.799,603.388,651.532,147.167,493.649,42.35,5.634,36.0,50.964,342.411,0.0
010502,TEXAS NEW MEXICO POWER CO,PNM2,0,882587009,USA,4911,A,2002,12,2002-12-31,862.805,611.811,303.907,104.214,503.91,27.567,0.284,97.3,36.131,174.495,185.557
010502,TEXAS NEW MEXICO POWER CO,PNM2,0,882587009,USA,4911,A,2003,12,2003-12-31,981.348,735.369,249.488,94.439,558.618,28.631,59.427,29.4,25.282,423.626,0.0
010502,TEXAS NEW MEXICO POWER CO,PNM2,0,882587009,USA,4911,A,2004,12,2004-12-31,872.506,683.204,269.665,98.143,574.669,29.691,68.845,6.0,-51.193,415.569,0.0
010502,TEXAS NEW MEXICO POWER CO,PNM2,0,882587009,USA,4911,A,2005,12,2005-12-31,1257.933,669.286,267.17,95.055,589.009,30.55,16.228,12.0,26.71,415.864,0.0
010504,TEXAS PACIFIC LAND CORP,TPL,11,88262P102,USA,6792,A,2000,12,2000-12-31,15.329,4.061,7.707,5.295,0.121,0.044,1.614,1.034,3.758,0.0,0.0
010504,TEXAS PACIFIC LAND CORP,TPL,11,88262P102,USA,6792,A,2001,12,2001-12-31,17.628,4.43,13.345,10.012,0.207,0.052,2.585,1.004,6.887,0.0,0.0
010504,TEXAS PACIFIC LAND CORP,TPL,11,88262P102,USA,6792,A,2002,12,2002-12-31,18.735,4.752,9.068,7.089,0.102,0.05,3.348,0.957,4.901,0.0,0.0
010504,TEXAS PACIFIC LAND CORP,TPL,11,88262P102,USA,6792,A,2003,12,2003-12-31,18.322,4.331,9.25,6.943,0.082,0.051,4.513,1.718,5.33,0.0,0.0
