gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc,log_assets,ebitda_margin,asset_tangibility,cash_holdings,non_debt_tax_shield,roa,book_leverage,lev
025877,HCC INSURANCE HOLDINGS INC,HCC.1,11,404132102,USA,6331,I,2005,12,2005-12-31,7028.8,5338.365,1642.688,294.94,,14.647,1231.418,30.063,191.192,12.143,297.4,8.857771273221514,0.1795471812054389,0.014323493898597727,0.17519605053494194,0.002083854996585477,0.027201229228317778,0.044039238561347595,0.044039238561347595
004242,EL PASO CORP,EP.1,11,28336L109,USA,4922,I,2004,12,2004-12-31,31383.0,27577.0,5874.0,1892.0,18812.0,1088.0,2297.0,104.0,-923.0,18241.0,955.0,10.354021624011871,0.32209737827715357,0.599432813943855,0.07319249275085238,0.03466845107223656,-0.02941082751808304,0.6116687378517032,0.6116687378517032
019350,ECO-STIM ENERGY SOLUTIONS,ESESQ,19,27888D408,USA,1389,I,2017,12,2017-12-31,103.669,30.988,44.018,-17.884,75.826,8.029,8.826,,-26.947,1.173,7.884,4.6412031312964075,-0.40628833658957697,0.731424051548679,0.08513634741340227,0.07744841755973339,-0.25993305616915374,0.08736459307989852,0.08736459307989852
063272,CHESAPEAKE FINL SHARES INC,CPKF,19,16517A109,USA,6020,A,2015,12,2015-12-31,679.058,603.101,46.909,23.011,18.724,1.651,14.804,1.863,7.404,15.402,15.803,6.5207065436455425,0.4905455243130316,0.027573491513243346,0.021800788739695286,0.0024313092548795536,0.010903339626364758,0.04595336480830798,0.04595336480830798
032451,OPTINOSE INC,OPTN,14,68404V209,USA,2834,I,2017,12,2017-12-31,241.136,86.64,,-48.366,2.564,0.164,234.854,,-48.902,71.863,,5.485361089677321,0.11070856853989385,0.010633003782098069,0.9739483113263885,0.0006801141264680513,-0.20279842080817465,0.29801854555105833,0.29801854555105833
020540,TRUECAR INC,TRUE,14,89785L107,USA,7370,A,2019,12,2019-12-31,421.687,94.416,353.88,-20.63,65.861,25.591,181.534,,-54.89,37.127,5.875,6.044263332674773,-0.05829659771674014,0.1561845634321191,0.43049465598892067,0.06068719215911328,-0.13016763618513258,0.10197611024290529,0.10197611024290529
158563,CYTOKINETICS INC,CYTK,14,23282W605,USA,2834,A,2013,12,2013-12-31,83.188,28.746,30.648,-33.461,1.221,0.433,77.728,,-33.717,,,4.421103106655675,-1.0917841294701123,0.014677597730441892,0.9343655334904072,0.005205077655431071,-0.40531086214357837,0.0,0.0
144097,ATLAS PIPELINE PARTNER LP,APL,11,049392103,USA,4922,I,2014,12,2014-12-31,4824.733,2306.266,2822.501,343.038,3249.973,202.543,8.103,243.47,216.48,1938.886,0.224,8.481510675454386,0.12153689228099476,0.6736068089156436,0.0016794711748815943,0.041980146880666765,0.044868804139006235,0.40191032332773646,0.40191032332773646
010407,TELEFLEX INC,TFX,11,879369106,USA,3841,A,2024,12,2024-12-31,7097.914,2819.774,3061.124,867.537,611.764,274.601,304.888,63.541,69.675,1655.025,117.358,8.867556217044003,0.28340472323238136,0.08618926631120073,0.04295459201111763,0.0386875636982922,0.009816264327801097,0.24970477241623384,0.24970477241623384
065021,8X8 INC,EGHT,14,282914100,USA,7370,A,2022,3,2023-03-31,841.81,741.904,743.938,-12.184,110.315,52.281,138.139,,-73.143,494.437,74.436,6.73555433557216,-0.016377708895096096,0.13104501015668618,0.16409759922072678,0.06210546322804433,-0.0868877775269954,0.6757736306292395,0.6757736306292395
